solution,factors,rotation,item,factor,loading,absolute_loading,loading_rank_within_item,primary_loading,loading_ge_0_30,substantial_secondary_loading,communality,uniqueness,complexity
one_factor,1,none,DPQ010,MR1,0.7571096586722976,0.7571096586722976,1,TRUE,TRUE,FALSE,0.573215035254883,0.42678496474511696,1.0000000000000002
one_factor,1,none,DPQ020,MR1,0.8766551275954229,0.8766551275954229,1,TRUE,TRUE,FALSE,0.7685242127393471,0.23147578726065288,1.0000000000000002
one_factor,1,none,DPQ030,MR1,0.6836393957271427,0.6836393957271427,1,TRUE,TRUE,FALSE,0.4673628233901728,0.5326371766098272,1
one_factor,1,none,DPQ040,MR1,0.7400811292581163,0.7400811292581163,1,TRUE,TRUE,FALSE,0.5477200778839687,0.4522799221160313,1
one_factor,1,none,DPQ050,MR1,0.692864345980501,0.692864345980501,1,TRUE,TRUE,FALSE,0.48006100193098733,0.5199389980690127,1
one_factor,1,none,DPQ060,MR1,0.8149375436154613,0.8149375436154613,1,TRUE,TRUE,FALSE,0.6641231999940019,0.33587680000599807,1.0000000000000002
one_factor,1,none,DPQ070,MR1,0.7409459561274135,0.7409459561274135,1,TRUE,TRUE,FALSE,0.549000909901567,0.450999090098433,1
one_factor,1,none,DPQ080,MR1,0.7272349539154309,0.7272349539154309,1,TRUE,TRUE,FALSE,0.5288706781963789,0.4711293218036211,1
one_factor,1,none,DPQ090,MR1,0.7680224758191914,0.7680224758191914,1,TRUE,TRUE,FALSE,0.5898585233634404,0.41014147663655964,1
two_factor,2,oblimin,DPQ010,MR1,0.4376671003861815,0.4376671003861815,1,TRUE,TRUE,FALSE,0.5714092403375176,0.4285907596624824,1.934265785939937
two_factor,2,oblimin,DPQ010,MR2,0.3632091957656476,0.3632091957656476,2,FALSE,TRUE,TRUE,0.5714092403375176,0.4285907596624824,1.934265785939937
two_factor,2,oblimin,DPQ020,MR1,0.17243865394232447,0.17243865394232447,2,FALSE,FALSE,FALSE,0.7905065225772533,0.2094934774227467,1.1059768247782522
two_factor,2,oblimin,DPQ020,MR2,0.748052168760016,0.748052168760016,1,TRUE,TRUE,FALSE,0.7905065225772533,0.2094934774227467,1.1059768247782522
two_factor,2,oblimin,DPQ030,MR1,0.6726412429795108,0.6726412429795108,1,TRUE,TRUE,FALSE,0.5293193785415159,0.4706806214584841,1.0209013756788339
two_factor,2,oblimin,DPQ030,MR2,0.06876693222647066,0.06876693222647066,2,FALSE,FALSE,FALSE,0.5293193785415159,0.4706806214584841,1.0209013756788339
two_factor,2,oblimin,DPQ040,MR1,0.8689786006330391,0.8689786006330391,1,TRUE,TRUE,FALSE,0.6901530129916124,0.30984698700838764,1.0065590449594708
two_factor,2,oblimin,DPQ040,MR2,-0.049764165218570806,0.049764165218570806,2,FALSE,FALSE,FALSE,0.6901530129916124,0.30984698700838764,1.0065590449594708
two_factor,2,oblimin,DPQ050,MR1,0.5286104240400602,0.5286104240400602,1,TRUE,TRUE,FALSE,0.4984671480972085,0.5015328519027915,1.3120133549808715
two_factor,2,oblimin,DPQ050,MR2,0.21144448149418765,0.21144448149418765,2,FALSE,FALSE,FALSE,0.4984671480972085,0.5015328519027915,1.3120133549808715
two_factor,2,oblimin,DPQ060,MR1,0.008911682776554927,0.008911682776554927,2,FALSE,FALSE,FALSE,0.7338266406288483,0.2661733593711517,1.000220013820624
two_factor,2,oblimin,DPQ060,MR2,0.8496689202110784,0.8496689202110784,1,TRUE,TRUE,FALSE,0.7338266406288483,0.2661733593711517,1.000220013820624
two_factor,2,oblimin,DPQ070,MR1,0.3405514976866868,0.3405514976866868,2,FALSE,TRUE,TRUE,0.5426452919647147,0.45735470803528533,1.8825466008547518
two_factor,2,oblimin,DPQ070,MR2,0.4395475508940309,0.4395475508940309,1,TRUE,TRUE,FALSE,0.5426452919647147,0.45735470803528533,1.8825466008547518
two_factor,2,oblimin,DPQ080,MR1,0.3254140151104639,0.3254140151104639,2,FALSE,TRUE,TRUE,0.5227211669719217,0.4772788330280783,1.8421681686833649
two_factor,2,oblimin,DPQ080,MR2,0.4399329394031172,0.4399329394031172,1,TRUE,TRUE,FALSE,0.5227211669719217,0.4772788330280783,1.8421681686833649
two_factor,2,oblimin,DPQ090,MR1,-0.09920227441397404,0.09920227441397404,2,FALSE,FALSE,FALSE,0.698382421164022,0.30161757883597795,1.0237256790053069
